Registro NSSDC/COSPAR ID;Nome do objeto;Data de lançamento;Fim de operações;Massa Inicial (kg);Local de lançamento;Veículo lançador;Órbita;Proprietários;Principais fabricantes;Principal entidade brasileira envolvida;Função Genérica;Principais funções;Termo VCGE;Código VCGE;Status
2019-093E;CBERS 4A ;20/12/2019;N/A;1980 ;Taiyuan;Long March;LEO;INPE (Brasil);INPE (Brasil), CAST (China);INPE;Observação da Terra;Estudos de sensoriamento geográfico;Outros em pesquisa e desenvolvimento;25.153;Em operação
2019-093G;FloripaSat-1 ;20/12/2019;N/A;1;Taiyuan;Long March;LEO;UFSC (Brasil);UFSC (Brasil);UFSC;Desenvolvimento tecnológico;Projeto de estudos de estudantes universitários para uma missão espacial completa;Educação superior;7.125;Em operação
2018-099AE;ITASAT;03/12/2018;N/A;8;Vandenberg;Falcon 9;LEO;ITA (Brasil);ITA (Brasil);ITA;Educacional;Projeto de estudos de estudantes universitários para a construção de satélites;Educação superior;7.125;Em operação
2017-023B;SGDC;04/05/2017;N/A;5800;Kourou;Ariane;GEO;Ministério da Defesa (Brasil) / Telebrás (Brasil);Thales Alenia Space (França);Visiona;Telecomunicação;"I - Comunicações estratégicas do governo 
II - Implementação do Plano Nacional de Banda Larga (PNBL)";Telecomunicações;19.183;Em operação
1998-067KT;Tancredo-1;16/01/2017;18/10/2017;0,75;ISS (Tanegashima);H-2B;LEO;Escola municipal Tancredo Almeida Neves (Brasil);Escola municipal Tancredo Almeida Neves (Brasil);Escola municipal Tancredo Almeida Neves;Educacional;Proposta educacional de incentivo à produção científica;Educação básica;7.123;Fim das operações em 10/2016
1998-067GX;SERPENS;17/09/2015;27/03/2016;4;ISS (Tanegashima);H-2B;LEO;AEB (Brasil);AEB (Brasil);AEB;Desenvolvimento tecnológico;Oferta de serviços aeroespaciais para estudantes universitários.;Educação superior;7.125;Fim das operações em 03/2016
1998-067FM;AESP 14;05/02/2015;N/A;1;Cape Canaveral;Falcon 9;N/A;ITA (Brasil);ITA (Brasil);ITA;Desenvolvimento tecnológico;Estudos científicos para estudantes universitários;Educação superior;7.125;Não operou devido a uma falha
2014-079A;CBERS4;07/12/2014;N/A;1980;Taiyuan;Long March;LEO;INPE (Brasil);INPE (Brasil), CAST (China);INPE;Observação da Terra;Validação de Pesquisas de geoprocessamento terrestre;Outros em pesquisa e desenvolvimento;25.153;Em operação
2014-033Q;NANOSATC BR1;19/06/2014;N/A;1;Yasni;Dnepr;LEO;INPE (Brasil);INPE (Brasil);INPE;Desenvolvimento tecnológico;"I - Projeto de estudos de estudantes universitários para a construção de satélites
II - Proposta educacional de incentivo à produção científica
III - Estudo da Anomalia Magnética do Atlântico Sul e do Eletrojato Ionosférico Equatorial no Brasil
IV - Cumprir com as qualificações necessárias sobre circuitos eletrônico miniaturizados e circuitos integrados conforme o Projeto CITAR - FINEP
V - Estudos de sensoriamento geográfico
VI - Cooperação nacional e internacional entre as instituições e universidades do MERCOSUL para a pesquisa científica";Outros em pesquisa e desenvolvimento;25.153;Em operação
2013-F03;CBERS3;09/12/2013;N/A;2000;Taiyuan;Long March;N/A;INPE (Brasil);INPE (Brasil), CAST (China);INPE;Observação da Terra;Estudos de sensoriamento geográfico;Outros em pesquisa e desenvolvimento;25.153;Não operou devido a uma falha
2007-042A;CBERS2B;19/09/2007;15/05/2010;1450;Taiyuan;Long March;LEO;INPE (Brasil);INPE (Brasil), CAST (China);INPE;Observação da Terra;Estudos de sensoriamento geográfico;Outros em pesquisa e desenvolvimento;25.153;Fim das operações 05/2010
2003-049A;CBERS 2;21/10/2003;15/01/2009;1540;Taiyuan;Long March;LEO;INPE (Brasil);INPE (Brasil), CAST (China);INPE;Observação da Terra;Estudos de sensoriamento geográfico;Outros em pesquisa e desenvolvimento;25.153;Fim das operações em 01/2009
2003-E01;UNOSAT;22/08/2003;N/A;9;Alcântara;VLS;N/A;UNOPAR (Brasil);UNOPAR (Brasil);UNOPAR;Desenvolvimento tecnológico;Transmissão de mensagens de voz e pacote de dados de telemetria;Outros em comunicações;19.143;Falha (destruição do veículo lançador)
2003-E01;SATEC;22/08/2003;N/A;65;Alcântara;VLS;N/A;INPE (Brasil);INPE (Brasil);INPE;Desenvolvimento tecnológico;Teste de equipamentos tecnológicos embarcados no VLS;Outros em pesquisa e desenvolvimento;25.153;Falha (destruição do veículo lançador)
1999-F05;SACI 2;11/12/1999;N/A;80;Alcântara;VLS;N/A;INPE (Brasil);INPE (Brasil);INPE;Científico;Estudos científicos para estudantes universitários;Educação superior;7.125;Falha (destruição do veículo lançador)
1999-057B;SACI 1;14/10/1999;N/A;60;Taiyuan;Long March;N/A;INPE (Brasil);INPE (Brasil);INPE;Científico;Estudos científicos para estudantes universitários;Educação superior;7.125;Não operou devido a uma falha
1999-057A;CBERS 1;14/10/1999;15/09/2003;1540;Taiyuan;Long March;LEO;CNSA (China) / INPE (Brasil);INPE (Brasil), CAST (China);INPE;Observação da Terra;Estudos de sensoriamento geográfico;Outros em pesquisa e desenvolvimento;25.153;Fim das operações 09/2003
1998-060A;SCD 2;23/10/1998;N/A;117;Cape Canaveral;Pegasus;LEO;INPE (Brasil);INPE (Brasil);INPE;Observação da Terra;Coleta de dados ambientais e meteorológicos;Outros em pesquisa e desenvolvimento;25.153;Em operação
1997-F03;SCD 2A;02/11/1997;N/A;115;Alcântara;VLS;N/A;INPE (Brasil);INPE (Brasil);INPE;Observação da Terra;Coleta de dados ambientais e meteorológicos;Outros em pesquisa e desenvolvimento;25.153;Falha (destruição do veículo lançador)
1993-009B;SCD 1 ;09/02/1993;N/A;115;Cape Canaveral;Pegasus;LEO;INPE (Brasil);INPE (Brasil);INPE;Observação da Terra;Coleta de dados ambientais e meteorológicos;Outros em pesquisa e desenvolvimento;25.153;Em operação
1990-005E;DOVE-Oscar17;22/01/1990;15/03/1998;13;Kourou;Ariane;LEO;N/A;Projeto amador (Brasil);Junior Torres de Castro;Desenvolvimento tecnológico;Transmissão de mensagens de voz e pacote de dados de telemetria;Educação básica;7.123;Fim das operações em 03/1998
